epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.845950722694397,0.4229505658149719,0.002,0.864062488079071,0.37179306149482727
1,0.8940140604972839,0.2970568835735321,0.002,0.827343761920929,0.47842493653297424
2,0.9146126508712769,0.23417499661445618,0.002,0.899218738079071,0.25710737705230713
3,0.9172534942626953,0.22193358838558197,0.002,0.887499988079071,0.2940400242805481
4,0.9260563254356384,0.19622142612934113,0.002,0.907031238079071,0.2359265834093094
5,0.9271126985549927,0.20172564685344696,0.002,0.893750011920929,0.2686431407928467
6,0.9329225420951843,0.1850144863128662,0.002,0.914843738079071,0.225721076130867
7,0.938732385635376,0.17395083606243134,0.002,0.917187511920929,0.1999361664056778
8,0.9369718432426453,0.16810409724712372,0.002,0.9398437738418579,0.17118972539901733
9,0.9406690001487732,0.15544220805168152,0.002,0.907031238079071,0.2639491558074951
10,0.9445422291755676,0.14521165192127228,0.002,0.9296875,0.17951485514640808
11,0.9482394456863403,0.1448584794998169,0.002,0.934374988079071,0.19093026220798492
12,0.949999988079071,0.1407335251569748,0.002,0.9164062738418579,0.24651317298412323
13,0.952464759349823,0.13560299575328827,0.002,0.9312499761581421,0.18646085262298584
14,0.9529929757118225,0.12244182080030441,0.002,0.9468749761581421,0.1535865217447281
15,0.9466549158096313,0.14152131974697113,0.002,0.9164062738418579,0.2210938036441803
16,0.9498239159584045,0.13795968890190125,0.002,0.9046875238418579,0.2984231412410736
17,0.9491197466850281,0.13850824534893036,0.002,0.9429687261581421,0.13633298873901367
18,0.9573943614959717,0.11648019403219223,0.002,0.932812511920929,0.2047068178653717
19,0.9579225182533264,0.10988815873861313,0.002,0.93359375,0.16060161590576172
20,0.9632042050361633,0.1050262525677681,0.002,0.9351562261581421,0.18196746706962585
21,0.9595070481300354,0.11332491785287857,0.002,0.9468749761581421,0.14157317578792572
22,0.9598591327667236,0.10706507414579391,0.002,0.94921875,0.11921487003564835
23,0.9566901326179504,0.11152559518814087,0.002,0.942187488079071,0.15505897998809814
24,0.9621478915214539,0.09906183928251266,0.002,0.9453125,0.1831953078508377
25,0.9621478915214539,0.10544148087501526,0.002,0.9234374761581421,0.2116297036409378
26,0.9602112770080566,0.11454707384109497,0.002,0.9281250238418579,0.19711849093437195
27,0.9612675905227661,0.10050354152917862,0.002,0.9554687738418579,0.140708789229393
28,0.9644365906715393,0.09664618223905563,0.002,0.9468749761581421,0.13559839129447937
29,0.9646126627922058,0.09086193889379501,0.002,0.8921874761581421,0.4382983148097992
30,0.9621478915214539,0.10502590984106064,0.002,0.952343761920929,0.14958012104034424
31,0.966549277305603,0.09432107955217361,0.002,0.9624999761581421,0.13180673122406006
32,0.9730634093284607,0.08290093392133713,0.002,0.957812488079071,0.11806323379278183
33,0.9684858918190002,0.08965320885181427,0.002,0.953906238079071,0.11786618083715439
34,0.967781662940979,0.08817213773727417,0.002,0.965624988079071,0.10360429435968399
35,0.9716549515724182,0.08461425453424454,0.002,0.957812488079071,0.13176342844963074
36,0.9737675786018372,0.07489589601755142,0.002,0.965624988079071,0.09526609629392624
37,0.9728873372077942,0.07910207659006119,0.002,0.9554687738418579,0.15223824977874756
38,0.970950722694397,0.08307380974292755,0.002,0.9546874761581421,0.12538835406303406
39,0.9713028073310852,0.08718990534543991,0.002,0.960156261920929,0.11124400794506073
40,0.9734154939651489,0.08067436516284943,0.002,0.9664062261581421,0.10213496536016464
41,0.9742957949638367,0.07519625872373581,0.002,0.957812488079071,0.11827023327350616
42,0.9728873372077942,0.08547446876764297,0.002,0.94140625,0.164052814245224
43,0.9755281805992126,0.07093074172735214,0.002,0.9703124761581421,0.11050648987293243
44,0.9760563373565674,0.06559585779905319,0.002,0.953906238079071,0.16053250432014465
45,0.9771126508712769,0.06593148410320282,0.002,0.9468749761581421,0.19848652184009552
46,0.9728873372077942,0.07212156057357788,0.002,0.956250011920929,0.11837127059698105
47,0.9764084219932556,0.06815380603075027,0.002,0.960156261920929,0.12931989133358002
48,0.9720070362091064,0.0806465595960617,0.002,0.9398437738418579,0.19698087871074677
49,0.9758802652359009,0.0742788091301918,0.002,0.96484375,0.11552391201257706
50,0.9748239517211914,0.07481978833675385,0.002,0.9585937261581421,0.10215862840414047
51,0.9797534942626953,0.05470683053135872,0.002,0.9507812261581421,0.16736136376857758
