loss,accuracy,val_loss,val_accuracy,lr
0.6065093874931335,0.7681401371955872,0.6224496960639954,0.73828125,0.002
0.3744601309299469,0.8548790812492371,0.37967175245285034,0.8515625,0.002
0.33743780851364136,0.8753127455711365,0.3297310769557953,0.85546875,0.002
0.3099606931209564,0.8778148293495178,0.34986722469329834,0.86328125,0.002
0.2787892520427704,0.8932443857192993,0.3996056616306305,0.8515625,0.002
0.26536932587623596,0.9015846252441406,0.3904860019683838,0.8359375,0.002
0.2405652105808258,0.9074228405952454,0.4328083097934723,0.828125,0.002
0.2311691790819168,0.9082568883895874,0.254128098487854,0.90625,0.002
0.21856577694416046,0.9182652235031128,0.24816492199897766,0.91015625,0.002
0.23275868594646454,0.9070058465003967,0.2867555022239685,0.890625,0.002
